date,sentiment_score,news_count
2008-08-08,0.4875561779,25
2008-08-11,0.3078601104,25
2008-08-12,0.6290920388,25
2008-08-13,0.48929709344000005,25
2008-08-14,0.49639628432000005,25
2008-08-15,0.5102314008,25
2008-08-18,0.6438294295999999,25
2008-08-19,0.42292535307999995,25
2008-08-20,0.47907956007999997,25
2008-08-21,0.50422208816,25
2008-08-22,0.42063250156000004,25
2008-08-25,0.5757731214399999,25
2008-08-26,0.43582406496000003,25
2008-08-27,0.5557021724,25
2008-08-28,0.3051953352,25
2008-08-29,0.42376181964,25
2008-09-02,0.2775504334,25
2008-09-03,0.31065538292,25
2008-09-04,0.38336894612,25
2008-09-05,0.6151237368,25
2008-09-08,0.46830345328,25
2008-09-09,0.5297783938,25
2008-09-10,0.5780285908,25
2008-09-11,0.43528277732,25
2008-09-12,0.46807981888,25
2008-09-15,0.4587770858,25
2008-09-16,0.38841785968,25
2008-09-17,0.43082883544,25
2008-09-18,0.26384102336000004,25
2008-09-19,0.49241641719999996,25
2008-09-22,0.3501265618,25
2008-09-23,0.5329579464799999,25
2008-09-24,0.48370948656,25
2008-09-25,0.4316651768,25
2008-09-26,0.445072955264,25
2008-09-29,0.42833674932,25
2008-09-30,0.47001129784,25
2008-10-01,0.43136658940000006,25
2008-10-02,0.5917301312,25
2008-10-03,0.58754087992,25
2008-10-06,0.38927836556,25
2008-10-07,0.43807262032,25
2008-10-08,0.50840680446,25
2008-10-09,0.49793567376,25
2008-10-10,0.44519981928,25
2008-10-13,0.225083954628,25
2008-10-14,0.52364741928,25
2008-10-15,0.47505299223999997,25
2008-10-16,0.52393873196,25
2008-10-17,0.32367433556,25
2008-10-20,0.5042498744,25
2008-10-21,0.5501789552,25
2008-10-22,0.37979687848,25
2008-10-23,0.4957081876,25
2008-10-24,0.3383910147532,25
2008-10-27,0.54984657592,25
2008-10-28,0.45742096292,25
2008-10-29,0.4720597572,25
2008-10-30,0.37310875588000003,25
2008-10-31,0.4781673912,25
2008-11-03,0.46093042532,25
2008-11-04,0.2953975204,25
2008-11-05,0.37287825595999996,25
2008-11-06,0.400740131876,25
2008-11-07,0.46022414114,25
2008-11-10,0.52586541104,25
2008-11-11,0.495429943308,25
2008-11-12,0.4291175116,25
2008-11-13,0.45403594831999994,25
2008-11-14,0.51841148388,25
2008-11-17,0.5167511326399999,25
2008-11-18,0.5758094856,25
2008-11-19,0.33118895964000006,25
2008-11-20,0.43080768944,25
2008-11-21,0.43678574548,25
2008-11-24,0.42688290512000004,25
2008-11-25,0.58406226216,25
2008-11-26,0.49521533108,25
2008-11-28,0.5902920236,25
2008-12-01,0.5035523213599999,25
2008-12-02,0.54920808928,25
2008-12-03,0.6267575028,25
2008-12-04,0.551905837972,25
2008-12-05,0.46687703655999996,25
2008-12-08,0.52566692808,25
2008-12-09,0.36099516416,25
2008-12-10,0.49786005271999995,25
2008-12-11,0.48133893784000004,25
2008-12-12,0.452155994,25
2008-12-15,0.6562895168,25
2008-12-16,0.4156758962,25
2008-12-17,0.45770016828000004,25
2008-12-18,0.51368924532,25
2008-12-19,0.49033875351600004,25
2008-12-22,0.40539485311999995,25
2008-12-23,0.32462189376,25
2008-12-24,0.4610252748,25
2008-12-26,0.58758616788,25
2008-12-29,0.52592907272,25
2008-12-30,0.57149655592,25
2008-12-31,0.5022452086,25
2009-01-02,0.5666898318,25
2009-01-05,0.37953585312,25
2009-01-06,0.475088283348,25
2009-01-07,0.42033913888,25
2009-01-08,0.48578282815999996,25
2009-01-09,0.5576386116,25
2009-01-12,0.5519737336,25
2009-01-13,0.47238267992,25
2009-01-14,0.3984829896,25
2009-01-15,0.54581075096,25
2009-01-16,0.43189761564,25
2009-01-20,0.52178823404,25
2009-01-21,0.54245068144,25
2009-01-22,0.5362161238800001,25
2009-01-23,0.3790749914,25
2009-01-26,0.48203756716,25
2009-01-27,0.36558370128,25
2009-01-28,0.36703729468,25
2009-01-29,0.52693708992,25
2009-01-30,0.5321778562,25
