date,open,high,low,close,volume
2015-01-02,39.76768493652344,40.32899090171103,39.58058511096881,39.68263985620423,27913900
2015-01-05,39.40198516845703,39.74216870526906,39.33394651453768,39.436001251155126,39673900
2015-01-06,38.823673248291016,39.75918211807027,38.73012171246072,39.44451142467352,36447900
2015-01-07,39.31694793701172,39.51255425579138,38.68760643211412,39.10433194995611,29114100
2015-01-08,40.47358322143555,40.60965733614216,39.73368042548476,39.75919330816013,29645200
2015-01-09,40.13338088989258,40.66917393001776,39.88674888219443,40.49057733139655,23944200
2015-01-12,39.63161087036133,40.43104890029368,39.42750137984462,40.32899091077347,23651900
2015-01-13,39.42749786376953,40.74571595702822,39.17235940124552,39.9462812426499,35270600
2015-01-14,39.08731460571289,39.3254466705493,38.79815679033158,39.08731460571289,29719600
2015-01-15,38.67909240722656,39.44451110855673,38.61956020204109,39.30843703323824,32750800
2015-01-16,39.325443267822266,39.35945935048826,38.41544411594825,38.53451176019477,35695300
2015-01-20,39.4530143737793,39.67413677414309,38.75563433126924,39.37647250353981,36161900
2015-01-21,39.05329132080078,39.24039437188194,38.6790884629,39.07030098401376,39081100
2015-01-22,40.08235549926758,40.090858708879445,39.18936925398838,39.44450771774507,35898000
2015-01-23,40.12487411499024,40.30347069774193,39.80169702887196,40.27795782713776,26211600
2015-01-26,39.98030853271485,40.08236654174321,39.32545415155975,39.97180532076038,42525500
2015-01-27,36.28077697753906,36.74002809929224,35.813022647276895,36.52741219969479,169164000
2015-01-28,35.030601501464844,36.39134547936543,35.00508862654093,36.34882293973831,84507100
2015-01-29,35.727989196777344,35.82154075058126,34.69042538141457,34.80948981561501,63585300
2015-01-30,34.358734130859375,35.362281537507286,34.31620835125073,35.336765420889805,78004900
2015-02-02,35.10715103149414,35.183692917230466,34.21416452741203,34.520332070357334,50352500
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400
2015-02-04,35.58341217041016,35.89808292681198,35.17518985944664,35.66845726859577,41614800
2015-02-05,36.10218811035156,36.26377506061953,35.60041435037415,35.90658183026028,36548200
2015-02-06,36.06816482543945,36.39134193479895,35.84704569435864,36.29779041017424,34616600
2015-02-09,36.025657653808594,36.348834900993424,35.898086748685856,35.923602876268134,31381100
2015-02-10,36.2297477722168,36.37432827007501,35.87255462032208,36.348815400442845,29670700
2015-02-11,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500
2015-02-12,36.64649963378906,36.64649963378906,36.153228879227086,36.2807997969278,33268800
2015-02-13,37.309844970703125,37.309844970703125,36.69751325765485,36.89311953695962,40264900
2015-02-17,37.32699203491211,37.686727410043005,36.99294784283893,37.661032959634014,33695700
2015-02-18,37.28415298461914,37.42976245265416,37.16424122703168,37.36980657386043,27111700
2015-02-19,37.25845336914063,37.28414780867083,36.87302043943816,36.98436845631885,27603400
2015-02-20,37.56679153442383,37.58392224616448,37.07857768553727,37.26700897998612,29721100
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800
2015-02-24,37.76380920410156,37.943676868688,37.618199713233366,37.8152013657052,25271700
2015-02-25,37.67815399169922,37.76380431593447,37.51541380136165,37.64389255506495,29759800
2015-02-26,37.73809814453125,37.88370430395225,37.59248871776083,37.67814228272855,28957300
2015-02-27,37.55824279785156,37.85802549798101,37.3955058582504,37.79806961142527,33807700
2015-03-02,37.58391952514648,37.84943736953061,37.30126770291299,37.40404869856656,31924000
2015-03-03,37.07002258300781,37.541109138563314,36.90728567031151,37.30984935693158,31748600
2015-03-04,36.88159942626953,37.010074933055975,36.72742620424504,36.83877098998977,25748700
2015-03-05,36.92442321777344,37.0357712667154,36.67603267296092,36.89016177696809,23193500
2015-03-06,36.28203201293945,36.92441925603725,36.10216436903619,36.83020193760683,36248800
2015-03-09,36.70172119140625,36.94154797095327,36.13642057883519,36.13642057883519,32108000
2015-03-10,35.99936294555664,36.58179403049806,35.99936294555664,36.27344777760567,39159700
2015-03-11,35.956546783447266,36.29058755172553,35.83663504789607,36.23919867497487,32215300
2015-03-12,35.1342887878418,35.67389481457991,34.9972463504392,35.39980993977471,59992500
2015-03-13,35.44264602661133,35.51973262564894,34.78312807203411,34.86021467107172,58007700
2015-03-16,35.59682083129883,35.66534044056343,35.356994030496224,35.51973422878203,35273500
2015-03-17,35.71672821044922,35.82807623759521,35.24564492731641,35.43407628015942,31673400
2015-03-18,36.40195083618164,36.684602846297,35.39982811090235,35.48547845298821,44194800
2015-03-19,36.222076416015625,36.47903066180198,36.16212053424383,36.19637870429164,33879100
2015-03-20,36.727420806884766,36.81307113215546,36.3933799640384,36.45333584519798,71904500
2015-03-23,36.71028137207031,36.94154111621269,36.64175851424307,36.72741208652712,26246100
2015-03-24,36.74455261230469,36.975809150846175,36.6160738532478,36.64176829811895,25513300
2015-03-25,35.511173248291016,36.77025354680308,35.49404252623664,36.76168655210032,43469900
2015-03-26,35.297027587890625,35.639635333773,35.04863713549338,35.30559457857997,37495600
2015-03-27,35.09145736694336,35.485453895638805,34.97154566406638,35.21993279116204,34401400
2015-03-30,35.082908630371094,35.57968967771377,35.040083466684784,35.20282039563297,35049700
2015-03-31,34.8259391784668,35.14284917222659,34.72315817701616,34.928720179917434,34887200
2015-04-01,34.87733840942383,34.91159657197853,34.526166921277266,34.77455411971035,36865300
2015-04-02,34.5090446472168,34.894477659544535,34.36343516818161,34.8259547829749,37487500
2015-04-06,35.58824157714844,35.78523987852119,34.41481549186316,34.55185793052896,39223700
2015-04-07,35.571102142333984,35.89657907961869,35.382670877462765,35.63962497854072,28809400
2015-04-08,35.476905822753906,35.708165630470745,35.15143196064925,35.51116726108616,24753400
2015-04-09,35.52829360961914,35.6482053616801,35.33129526446898,35.33129526446898,25723900
2015-04-10,35.733856201171875,35.93085453118462,35.468335008189506,35.65676961400602,28022000
2015-04-13,35.76811981201172,36.02507731992688,35.45120969089357,35.45977668374432,30276700
2015-04-14,35.67389678955078,35.99937055430737,35.45120077434931,35.80237224384429,24244400
2015-04-15,36.19636917114258,36.36767304566682,35.69959152910688,35.768111118506795,27343600
2015-04-16,36.1107292175293,36.26490242205492,35.81951352757541,35.93086156803293,22509700
2015-04-17,35.6482048034668,35.750989104209715,35.254208119336035,35.69102996176794,42387600
2015-04-20,36.75312042236328,36.97581325981148,35.69960559001611,35.742430758677195,46057700
2015-04-21,36.521854400634766,36.95867954205219,36.427637085138834,36.83020079049403,26013800
2015-04-22,36.82164001464844,36.94155178312104,36.44477072247666,36.54755177154595,25064300
2015-04-23,37.12141418457031,37.35267396277477,36.65889462816138,36.73598122089621,46309500
2015-04-24,41.001426696777344,41.23268644660199,39.09996308824659,39.10852681201056,130933700
2015-04-27,41.138484954833984,41.22413856213277,40.444708706144496,40.45327243319886,59248200
2015-04-28,42.1063346862793,42.14915984120738,40.855821865219895,40.92434145963485,60730800
2015-04-29,42.02068710327149,42.23481615915726,41.5410368418413,41.72947145657282,47804600
2015-04-30,41.660945892333984,42.43181175054036,41.626684461447056,41.71233803866437,64725500
2015-05-01,41.67807769775391,41.8665123052101,41.45538492586475,41.609558101538,38937300
2015-05-04,41.31834030151367,41.85794312075159,41.266948156531576,41.42968504795019,34039500
2015-05-05,40.77017211914063,41.249822394517054,40.52178489027712,40.95860673935104,50369200
2015-05-06,39.63957595825195,40.9157867678756,39.41688314305586,40.74448284299751,52433000
2015-05-07,39.99930953979492,40.33335035461347,39.536789980499925,39.63100729080264,32971700
2015-05-08,40.89864730834961,41.095645636286896,40.70164898041232,40.72734342008026,35364900
2015-05-11,40.57317352294922,41.03569307841189,40.57317352294922,40.72734670810344,24609400
2015-05-12,40.55604553222656,40.83869747979287,39.75948511116746,40.12778738186577,29928300
2015-05-13,40.795875549316406,41.38687066737578,40.74448339095664,41.27552262460495,34184600
2015-05-14,41.7294807434082,41.81513107788384,41.13848232653355,41.13848232653355,32980900
2015-05-15,41.36973571777344,41.892211171946144,41.155606647528906,41.85794973654294,28642700
2015-05-18,41.12134552001953,41.30121642355795,40.77874096547324,41.09565107694991,24136500
2015-05-19,41.017879486083984,41.21615803047754,40.67304523321849,41.0006374445824,28574800
2015-05-20,41.017879486083984,41.31960699090393,40.75063277568407,40.85408173611045,25047900
2015-05-21,40.87995910644531,41.03513425192966,40.52650533919417,40.75926805742069,22410700
2015-05-22,40.431678771972656,40.8196133448459,40.362710579453775,40.77650986881381,25720600
2015-05-26,40.16443634033203,40.41444113260909,39.81960191728886,40.37133765187489,29581900
2015-05-27,41.04375457763672,41.181687667018245,40.19029132618688,40.362708510059846,27335600
2015-05-28,40.90581130981445,41.39719802400271,40.8540851809481,40.94891477291136,19283700
2015-05-29,40.3972053527832,41.009283424531965,40.16444257438889,40.88859234430943,36519600
2015-06-01,40.71617126464844,41.181696777516926,40.19030021736199,40.569618763514825,28837300
2015-06-02,40.44891357421875,40.81960935127986,40.19028945474415,40.45753624173223,21498300
2015-06-03,40.38856887817383,41.155825161871846,40.36270745227512,40.83685222906168,28002200
2015-06-04,39.96615982055664,40.655825414684045,39.828226701731154,40.3368556940098,27745500
2015-06-05,39.77649688720703,40.10408924747941,39.5178727242908,39.923052662296506,25438100
2015-06-08,39.42303466796875,40.02649311146772,39.37130853101148,39.91442145901895,22121600
2015-06-09,39.35407638549805,39.60407786799899,39.19027856857369,39.44890271964144,24406100
2015-06-10,40.181678771972656,40.37133803530619,39.38856090687455,39.47477115774652,28417400
2015-06-11,40.035133361816406,40.44893280745183,39.767889736339626,40.2247926742856,27347800
2015-06-12,39.62993240356445,40.06097364079762,39.5695868934385,39.84545302218104,23931000
2015-06-15,39.20751953125,39.354075295566304,38.810962291356674,39.18165810343482,33254500
2015-06-16,39.509239196777344,39.86269286020424,39.05233327435956,39.09543673798069,27070300
2015-06-17,39.62993240356445,39.71613933557762,39.1040615679666,39.42303116271572,28704100
2015-06-18,40.27650833129883,40.34547324328773,39.80236017381661,39.84546694346758,32658300
2015-06-19,39.74201583862305,40.371339177750464,39.647189492857656,40.33685507642583,63837000
2015-06-22,39.85406875610352,40.27649057694693,39.79372325149494,39.94027896881817,20318100
2015-06-23,39.57820510864258,39.89717469402234,39.32820040913086,39.76786429980093,25896500
2015-06-24,39.34545135498047,39.871322294114165,39.26786378545936,39.3713127819594,34890900
2015-06-25,39.35407638549805,39.70753015929369,39.224762665671925,39.68166544217777,20616000
2015-06-26,39.01786422729492,39.89718903614863,38.81958558734527,39.35407926573276,49835300
2015-06-29,38.2506103515625,38.9920020360465,38.241990971117545,38.828207498914914,34081700
2015-06-30,38.06095123291016,38.55233809220079,37.87991137271013,38.543715423885146,35945400
2015-07-01,38.31957244873047,38.99199582826184,38.01784156383971,38.32819182780317,28343900
2015-07-02,38.276466369628906,38.57819394538832,37.98335817235522,38.34543126326651,21752000
2015-07-06,38.267845153808594,38.34543271745825,37.888530002956976,37.89714938176958,23034000
2015-07-07,38.19025802612305,38.35405582268887,37.34541748372914,38.22474211893523,36435800
2015-07-08,38.13854217529297,38.70751665678503,37.95750229909368,38.31095609382989,39785900
2015-07-09,38.379920959472656,38.98337948770593,38.3626789113992,38.57819957944077,32424700
2015-07-10,38.457496643066406,38.91439926572428,38.42301255757963,38.80232763218396,25465800
2015-07-13,39.25925064086914,39.32821555329358,38.75062166847267,38.77648309955873,28178300
2015-07-14,39.32820129394531,39.62130946479191,39.06095783339176,39.18164885281383,22880300
2015-07-15,39.44890594482422,39.56097762526375,39.164420341966654,39.37994103357397,26629600
2015-07-16,40.22477722167969,40.25063864941405,39.62994136369858,39.66442217114959,26271700
2015-07-17,40.19029235839844,40.32822545132251,39.87994207717319,40.12994683578068,29467100
2015-07-20,40.44891357421875,40.629953417576665,40.03511432534256,40.21615416870048,30631900
2015-07-21,40.75925827026367,40.80236502477972,40.06959294959444,40.32821703377245,42781900
2015-07-22,39.25925064086914,40.457545180434174,38.9661423637494,39.17304038960755,59152400
2015-07-23,39.75064086914063,39.85408989067373,38.87993534619711,39.02649114123868,33934000
2015-07-24,39.60407638549805,39.93166871849949,39.48338533875656,39.5782149579347,32333200
2015-07-27,39.09543228149414,39.664406486752846,39.00922536407859,39.60406098684534,39701400
2015-07-28,39.08683776855469,39.34546197389683,38.61269284399656,39.29373910597952,34328900
2015-07-29,39.90580368041992,40.32822230579638,39.01785638093162,39.13855070533754,40945900
2015-07-30,40.41444396972656,40.86272743571854,39.59546462394479,39.8799502476294,39777900
2015-07-31,40.25926208496094,40.83685590593191,40.0868448900824,40.76789100113117,31201500
2015-08-03,40.354103088378906,40.517897660990045,40.04375270778064,40.50065560778065,24125900
2015-08-04,40.9834098815918,41.12996235325425,40.24201827802232,40.30236380030502,33403900
2015-08-05,41.017879486083984,41.73340612119263,40.983395403080806,41.36271045036632,26959700
2015-08-06,40.19029235839844,41.18168872469194,39.94029088837529,41.12996258162629,27368000
2015-08-07,40.29374694824219,40.32822775700632,39.87994435722732,39.992016029318194,19163000
2015-08-10,40.802364349365234,40.94029741121583,40.3799424976195,40.474772094251215,23079900
2015-08-11,40.009254455566406,40.46615719402247,39.569593764223576,40.362708199927255,29237400
2015-08-12,40.29374694824219,40.431680049052304,39.40579952872908,39.81959883115943,30181400
2015-08-13,40.28512191772461,40.60409157803744,40.07822392293198,40.56961077129489,22627200
2015-08-14,40.517879486083984,40.60408642487613,40.10408026043064,40.112699638876286,21473400
2015-08-17,40.79375076293945,40.90582242832006,40.14718877499525,40.3540900581145,21099700
2015-08-18,41.01936721801758,41.15820987577656,40.524740042859335,40.64622695461468,23574100
2015-08-19,40.44663619995117,40.85448790856261,40.177627133167285,40.59415505864996,31485500
