Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.260459899902344,26.570398279090803,26.177642564071707,26.41170808856967,26480000
2015-01-05,25.760095596313477,26.183099839449802,25.675297631102644,26.141444300388933,41182000
2015-01-06,25.124345779418945,25.84687249073412,25.070291959217712,25.811663919950004,54456000
2015-01-07,25.050460815429688,25.36486176689242,24.976076734824716,25.338084557234392,46918000
2015-01-08,25.137737274169922,25.166994516697418,24.54810906238955,24.8699500804736,73054000
2015-01-09,24.830772399902344,25.221543673525197,24.728122346067824,25.200715907041257,42000000
2015-01-12,24.649274826049805,24.808954375529883,24.34429464256883,24.75738058619834,57138000
2015-01-13,24.884334564208984,25.221547696828534,24.659196020343067,24.92251880885397,60958000
2015-01-14,25.089136123657227,25.204681985071584,24.703822456627375,24.81589513203065,52800000
2015-01-15,24.993925094604492,25.278571236159127,24.894744443607163,25.235924445335655,51068000
2015-01-16,25.31378173828125,25.33312072618188,24.948300783435357,24.951276448892433,49658000
2015-01-20,25.287994384765625,25.569171129443106,25.259728399950568,25.428334942620978,46796000
2015-01-21,25.80621337890625,25.87861493705752,25.270638965153605,25.33262663942792,46356000
2015-01-22,26.6447811126709,26.721149592800394,25.88159004863909,25.935641982816453,56068000
2015-01-23,26.87537384033203,27.04695604247036,26.567915529254652,26.6809813562442,45966000
2015-01-26,26.61602020263672,26.853061388067903,26.385425977502006,26.853061388067903,30932000
2015-01-27,25.845882415771484,26.42063228188283,25.829517201942046,26.352197652881124,39148000
2015-01-28,25.411474227905273,26.06903955847943,25.407507304437367,26.034822242462525,35822000
2015-01-29,25.45115089416504,25.54834715405844,24.967645848185796,25.434785677264735,79018000
2015-01-30,26.65717887878418,26.932404292585282,25.69661778151271,25.737282057374063,121108000
2015-02-02,26.39187240600586,26.60511015362786,25.872167586263934,26.49700250116337,75378000
2015-02-03,26.44642448425293,26.652222142446437,26.12458342326535,26.279800436496792,47062000
2015-02-04,26.089370727539062,26.617504992397134,26.03630816237833,26.438484572025626,33896000
2015-02-05,26.274341583251953,26.31698837213654,26.066557665389382,26.1801191178171,33176000
2015-02-06,26.475183486938477,26.789584406297493,26.21582765179482,26.33286040937498,42938000
2015-02-09,26.247068405151367,26.4751825813196,26.161277301678282,26.33533765344044,30314000
2015-02-10,26.78660774230957,26.828263275653615,26.241612622678073,26.38939139694253,47430000
2015-02-11,26.679492950439453,26.875374215825545,26.580312299499035,26.76528405270726,38306000
