date,open,high,low,close,volume,returns,rsi,macd,volatility,news_count,sentiment_score
2015-02-09,36.025657653808594,36.348834900993424,35.898086748685856,35.923602876268134,31381100,-0.0103088240269638,38.56612289614692,-1.0489855008259354,0.0332776810579266,25.0,0.0
2015-02-10,36.2297477722168,36.37432827007501,35.87255462032208,36.348815400442845,29670700,0.0118365779078248,42.014533517583445,-0.97991349298443,0.020279316767989,25.0,0.0
2015-02-11,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500,-0.0021055389180918,41.56232055432198,-0.9207354062160816,0.0202284067238281,25.0,0.0
2015-02-12,36.64649963378906,36.64649963378906,36.153228879227086,36.2807997969278,33268800,0.0002348416358703,41.637614077438826,-0.8631985792633756,0.0137842873984708,25.0,0.0
2015-02-13,37.309844970703125,37.309844970703125,36.69751325765485,36.89311953695962,40264900,0.0168772392962424,46.93083349464407,-0.759436828693751,0.0139463565106637,25.0,0.0
2015-02-17,37.32699203491211,37.686727410043005,36.99294784283893,37.661032959634014,33695700,0.0208145429910067,52.72198319273579,-0.6082294083054194,0.010903390930691,25.0,0.0
2015-02-18,37.28415298461914,37.42976245265416,37.16424122703168,37.36980657386043,27111700,-0.0077328305382841,50.47251123774515,-0.5060624013585482,0.010268558499443,25.0,0.0
2015-02-19,37.25845336914063,37.28414780867083,36.87302043943816,36.98436845631885,27603400,-0.0103141587521941,47.5790778427582,-0.4509971329122209,0.0113648678903648,25.0,0.0
2015-02-20,37.56679153442383,37.58392224616448,37.07857768553727,37.26700897998612,29721100,0.0076421616878787,49.84945837819434,-0.3801684377068923,0.0113971581518143,25.0,0.0
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800,0.0043671665786724,51.16115656757289,-0.307360461800279,0.011128370213518,25.0,0.0
2015-02-24,37.76380920410156,37.943676868688,37.618199713233366,37.8152013657052,25271700,0.0102977189110846,54.215350768623445,-0.2160670503737023,0.0102351832586231,25.0,0.0
2015-02-25,37.67815399169922,37.76380431593447,37.51541380136165,37.64389255506495,29759800,-0.0045301573032375,52.6397316236061,-0.1557442308697787,0.0103623584366939,25.0,0.0
2015-02-26,37.73809814453125,37.88370430395225,37.59248871776083,37.67814228272855,28957300,0.0009098349118252,52.9342389943106,-0.1039757275602681,0.0102222611464605,25.0,0.0
2015-02-27,37.55824279785156,37.85802549798101,37.3955058582504,37.79806961142527,33807700,0.0031829416587689,54.01260586173006,-0.0526645978626518,0.0101484478678347,25.0,0.0
2015-03-02,37.58391952514648,37.84943736953061,37.30126770291299,37.40404869856656,31924000,-0.0104243660300473,49.96228404956615,-0.0432952716568095,0.0100160408016597,25.0,0.0
2015-03-03,37.07002258300781,37.541109138563314,36.90728567031151,37.30984935693158,31748600,-0.0025184263445414,49.01594864014545,-0.042975715453231,0.0073625916590488,25.0,0.0
