date,open,high,low,close,volume,returns,rsi,macd,volatility,news_count,sentiment_score
2015-02-09,26.247068405151367,26.4751825813196,26.16127730167828,26.33533765344044,30314000,9.407424894014582e-05,54.27704134938333,0.1137865550695629,0.0157638442511743,25.0,0.0
2015-02-10,26.78660774230957,26.82826327565361,26.24161262267808,26.38939139694253,47430000,0.0020525175797405,54.96594158354879,0.1246012523758928,0.0146282031068835,25.0,0.0
2015-02-11,26.679492950439453,26.875374215825545,26.580312299499035,26.76528405270726,38306000,0.014244082029428,59.53214202648683,0.1616400874504009,0.0145378471542073,25.0,0.0
2015-02-12,27.07671165466309,27.192255630025567,26.629904034551185,26.761813224322232,48590000,-0.0001296765010299,59.472179251775394,0.1885401903019854,0.011484756700671,25.0,0.0
2015-02-13,27.33210182189941,27.400536456486503,27.105970150369355,27.15109698053508,47382000,0.0145462399333633,63.86800057695533,0.2385211381565071,0.0116865253112146,25.0,0.0
2015-02-17,27.027118682861328,27.423343747936165,26.9403363266272,27.33209883958527,39174000,0.006666465785156,65.7292794685194,0.2894007055661198,0.0081507308269549,25.0,0.0
2015-02-18,26.91008949279785,27.1530820140818,26.75636126764103,26.968110244837927,31164000,-0.0133172573714015,59.13245687675917,0.296929473550314,0.009052764099296,25.0,0.0
2015-02-19,27.098529815673828,27.11886195286686,26.81586619419472,26.901161666272937,30834000,-0.0024825090804352,57.97982376212325,0.2941036419310343,0.0090967645371216,25.0,0.0
2015-02-20,26.86793708801269,27.15456764857032,26.68445410594335,27.15456764857032,38234000,0.0094198899453137,61.07281278446494,0.3087527850686449,0.0083870530467052,25.0,0.0
2015-02-23,26.530725479125977,26.743963237117736,26.381955434221293,26.729086800141392,32906000,-0.0156688500415631,53.89901436345824,0.2827699915260737,0.0103125254092565,25.0,0.0
2015-02-24,26.711729049682617,26.74892014034584,26.33236289949478,26.359637627123583,28406000,-0.0138219900956682,48.56466993644326,0.2297189230508323,0.011410217115372,25.0,0.0
2015-02-25,27.14216995239257,27.253251372623044,26.679988387179915,26.70131367413935,40836000,0.0129620919623032,53.17974262370132,0.2127930250267482,0.0121121898742241,25.0,0.0
2015-02-26,27.73526763916016,27.77692317187372,27.03108672294946,27.06332152210655,54032000,0.0135576793106553,57.527932968771616,0.2259851209992618,0.0120319980288299,25.0,0.0
2015-02-27,27.900897979736328,28.237615421126364,27.623192541897847,27.67873325112284,68328000,0.0227396969183399,63.69979604481015,0.2828381532525377,0.0138003054864738,25.0,0.0
2015-03-02,28.51531982421875,28.563422317291515,27.926684766133675,28.1176078515459,50406000,0.0158560218938219,67.3442457808402,0.3591678400573386,0.0139228852054349,25.0,0.0
2015-03-03,28.7022762298584,28.80443065609995,28.291172813218694,28.58127466099645,50526000,0.0164902651711553,70.69203986189413,0.4518648861419727,0.0144986589645517,25.0,0.0
2015-03-04,28.679462432861328,28.84310889220248,28.39134311724047,28.61201906332556,37964000,0.0010756833868947,70.90503105464984,0.5217938644722366,0.0131796971055788,25.0,0.0
2015-03-05,28.833194732666016,28.92096835384132,28.67450644227373,28.74343670388251,35918000,0.0045930921640338,71.84686661886252,0.5811186152372692,0.0128589728811195,25.0,0.0
2015-03-06,28.41019058227539,28.900140632343085,28.368535047860103,28.86146076348798,37592000,0.0041061220626248,72.70153374810504,0.6303907111586042,0.0128448078423911,25.0,0.0
2015-03-09,28.469697952270508,28.536643805751243,28.21926722743116,28.312000921050046,23478000,-0.0190378389694344,63.09790630318621,0.61797871100325,0.0135088220462774,25.0,0.0
2015-03-10,27.76303672790528,28.25447551411672,27.761547949397087,28.1909990683199,40080000,-0.0042738714606419,61.18122183690312,0.5915591475753885,0.0122417483053824,25.0,0.0
2015-03-11,27.556745529174805,27.977765341311013,27.542860350251907,27.76056066028267,40524000,-0.0152686468114903,54.80373577851223,0.5297816776095594,0.0138182214924088,25.0,0.0
2015-03-12,27.8284969329834,27.86172109830444,27.54880897428897,27.695098967604835,35602000,-0.0023580825142156,53.8838146300897,0.4701211125211806,0.0135060439826098,25.0,0.0
2015-03-13,27.4233455657959,27.986690312830884,27.290940746609365,27.732292666182627,35428000,0.0013429704158594,54.35265262952981,0.420988017680127,0.0114650152333498,25.0,0.0
2015-03-16,27.851804733276367,27.95643919390784,27.340033787766995,27.61823485957504,36856000,-0.0041128156254701,52.58706730117672,0.3685972150105456,0.0101035343839909,25.0,0.0
2015-03-17,27.65195846557617,27.8022153926548,27.49327017055901,27.685678262189203,28892000,0.0024419881631494,53.54795350895806,0.3287298522727084,0.0080555195229745,25.0,0.0
2015-03-18,28.075952529907227,28.093309002192417,27.448140078719497,27.65790652474542,35324000,-0.0010031084368162,53.07099496650928,0.2915331206190856,0.0079606444091307,25.0,0.0
2015-03-19,27.95247268676757,28.11562352549206,27.875608580105705,27.994623849019984,24660000,0.0121743604843447,57.960273007005,0.2859287086318076,0.0090836767791,25.0,0.0
2015-03-20,28.015947341918945,28.12256621203645,27.99264143038708,28.10322722392035,44320000,0.0038794368335177,59.42847974591859,0.2869428578232025,0.0090653494545517,25.0,0.0
2015-03-23,28.03677558898925,28.24852644596385,27.92222287007759,28.06801723960153,30234000,-0.0012528804623851,58.71255805253342,0.2816586413998827,0.0069950273475643,25.0,0.0
2015-03-24,28.64029121398925,28.855511490485483,28.17166263496508,28.19397918240136,79156000,0.0044877392558426,60.54379448845164,0.2843570468596645,0.0070659129010023,25.0,0.0
2015-03-25,28.117610931396484,28.76575369476025,28.117610931396484,28.64177833958805,53070000,0.0158827937798224,66.27117752802704,0.3189525161338196,0.0064063551741683,25.0,0.0
2015-03-26,27.95098304748535,28.127029692344163,27.686669049151305,28.001069946713034,49842000,-0.0223697141035912,54.15783423577888,0.2913118009923892,0.0102749552107857,25.0,0.0
2015-03-27,27.64898109436035,27.97230899573405,27.61823507357245,27.861225682703445,34552000,-0.0049942471582592,51.92683156657787,0.2551805096529769,0.0104553749981464,25.0,0.0
2015-03-30,27.82700729370117,27.8775898211191,27.61129141926604,27.782873617622773,24788000,-0.0028122260654639,50.66744719967081,0.2177141706808747,0.0103993732605131,25.0,0.0
2015-03-31,27.50765037536621,27.891972812931563,27.506161596720883,27.668321182815355,34932000,-0.0041231312636701,48.80382078179523,0.1767410422630426,0.0104801276833387,25.0,0.0
2015-04-01,27.249286651611328,27.6960924051215,27.07770443444437,27.514098195679992,38902000,-0.005573991501557,46.33295419854991,0.1303227570102052,0.0106267576722412,25.0,0.0
2015-04-02,26.843637466430664,27.175394849194863,26.80049315411126,27.146137606491664,47760000,-0.0133735289658194,40.9994745596476,0.0631170135063747,0.0103155440689972,25.0,0.0
2015-04-06,26.97455596923828,27.05340448591427,26.56543694970901,26.721149575441377,33718000,-0.0156555616570902,35.86442541835429,-0.0241585203596876,0.0107051039034284,25.0,0.0
