date,open,high,low,close,volume,returns,rsi,macd,volatility,sentiment_score,news_count
2015-02-09,26.620769500732425,26.64745144462894,26.333926728615506,26.36061036897336,155559200,-0.0122477101072411,64.16235636377681,0.5447010875559144,0.0181428595677282,0.28837466236,25.0
2015-02-10,27.13218879699707,27.16109649345701,26.718603465831738,26.720825829820143,248034000,0.0136649135131847,67.55793475703923,0.565507112669291,0.0173638724197412,0.31821931372,25.0
2015-02-11,27.76813507080078,27.77702961636251,27.238922333336244,27.29895839530153,294247200,0.021636029109407,72.12320890892708,0.6214824411279203,0.0121542529281694,0.0572586270399999,25.0
2015-02-12,28.11946487426757,28.346271568231803,27.92156588046305,28.030521105976927,297898000,0.0267981913478907,76.60880001384676,0.716613613380126,0.0125589009545576,0.351502614984,25.0
2015-02-13,28.257322311401367,28.30179333867826,27.93934954663485,28.30179333867826,217088800,0.0096777449008427,78.02108277989316,0.8046199963757772,0.0121419949132019,0.4235155172,25.0
2015-02-17,28.424091339111328,28.6575684745412,28.221744262210645,28.34848855663976,252609600,0.0016499031493417,78.26435550946046,0.8681263822482101,0.0117737620502467,0.24448616288,25.0
2015-02-18,28.62198829650879,28.63532926452933,28.339592032694533,28.379616633217,179566800,0.0010980506602686,78.43570662219668,0.9104720709379208,0.0119160786080704,0.3804787309999999,25.0
2015-02-19,28.56195640563965,28.690924777826144,28.53527446412601,28.568626891018056,149449600,0.0066600708615571,79.4928583173095,0.9483508838278,0.011606950264104,0.31415153404,25.0
2015-02-20,28.79543113708496,28.79543113708496,28.473011930350665,28.59975453474268,195793600,0.001089574372733,79.6696220190482,0.9697037158326296,0.0114297450861501,0.0645096064,25.0
2015-02-23,29.57369041442871,29.57369041442871,28.831013589751244,28.911062812304195,283896400,0.0108849982325316,81.39668218090422,1.0002160967720073,0.0112048562670784,0.2874090247999999,25.0
2015-02-24,29.389131546020508,29.7071060628032,29.16677297786456,29.56034859351888,276912400,0.0224580391744837,84.37754046263261,1.064518211430844,0.0094412026060436,0.29273985264,25.0
2015-02-25,28.637563705444336,29.26239424559454,28.495254331673475,29.253498001214613,298846800,-0.0103804794904057,78.01534898072768,1.0782879894961894,0.0116497347575807,0.32590492624,25.0
2015-02-26,28.99999618530273,29.100056835246285,28.15281081330094,28.637550731789126,365150000,-0.0210555082814339,67.0812657732483,1.0276527002257367,0.0141275056891394,0.3544182443599999,25.0
2015-02-27,28.56418228149414,29.033358981619905,28.51526312656748,28.906612973058365,248059200,0.0093954348187523,69.1174161669071,0.9977336899843188,0.0120473818230081,0.3280532392,25.0
