date,open,high,low,close,volume,returns,rsi,macd,volatility,sentiment_score,news_count
2015-02-09,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,52086000,-0.0298197845533758,55.9705241098853,0.0948738143398237,0.021709815437051,0.28837466236,25.0
2015-02-10,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,80857500,0.0100751493376063,57.92649374359778,0.1218527576067156,0.0216410970877792,0.31821931372,25.0
2015-02-11,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,146536500,-0.0245460780871874,51.82511661924786,0.1132026147672,0.0237232046671198,0.0572586270399999,25.0
2015-02-12,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,-0.0878374907664901,37.125350081471225,0.0060053082540161,0.0367923509254902,0.351502614984,25.0
2015-02-13,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,92865000,0.0481995967342629,45.46363485999726,-0.0284314090887924,0.039999202124227,0.4235155172,25.0
2015-02-17,13.623332977294922,13.713333129882812,13.43333339691162,13.713333129882812,59694000,0.0137998882946088,47.705047191467365,-0.040196964504144,0.0402284758758837,0.24448616288,25.0
2015-02-18,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,-0.0074380338860843,46.57852233436017,-0.0570936781893838,0.0371979039928216,0.3804787309999999,25.0
2015-02-19,14.11400032043457,14.162667274475098,13.583333015441896,13.666666984558104,77311500,0.0040652955606916,47.30549497169408,-0.0652670884385582,0.0360864463741634,0.31415153404,25.0
2015-02-20,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,0.0281951013845327,52.18519098614286,-0.0401881532552472,0.0374979698605293,0.0645096064,25.0
2015-02-23,13.822667121887209,14.546667098999023,13.755332946777344,14.37733268737793,127497000,0.0231520524154387,55.89846654811886,0.00587103122702,0.0382623282869686,0.2874090247999999,25.0
2015-02-24,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000,-0.0388110662133286,48.88600854607907,-0.0026224089368263,0.0390799860286654,0.29273985264,25.0
2015-02-25,13.583999633789062,13.809332847595217,13.505332946777344,13.662667274475098,58642500,-0.0113367122085381,47.09947395577083,-0.0217444854763257,0.0388630021261537,0.32590492624,25.0
2015-02-26,13.812666893005373,14.072667121887209,13.481332778930664,13.600000381469728,97093500,-0.0045867246670381,46.36949911041566,-0.0414774373584005,0.0382702226195187,0.3544182443599999,25.0
2015-02-27,13.555999755859377,13.903332710266112,13.520000457763672,13.793333053588867,58231500,0.0142156372570811,48.995829165343,-0.0410425006028472,0.0242487397095049,0.3280532392,25.0
2015-03-02,13.155332565307615,13.555999755859377,13.055333137512209,13.513333320617676,118831500,-0.0202996427247392,45.519120055827,-0.0625701784176726,0.020718203473637,0.35296894844,25.0
2015-03-03,13.303999900817873,13.349332809448242,13.021332740783691,13.120667457580566,66484500,-0.0290576613275724,41.1131622014751,-0.1100473147437295,0.0219636619433312,0.34984731232,25.0
2015-03-04,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,63330000,0.0123976442244546,43.5507555070456,-0.1330142462284858,0.0225262409395761,0.38156522804,25.0
2015-03-05,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,73155000,0.0180677375388624,47.03442631145275,-0.1303471681147705,0.0233785020955039,0.28899451592,25.0
2015-03-06,12.925333023071287,13.383333206176758,12.8100004196167,13.280667304992676,100686000,-0.0179441930539689,44.07279440166033,-0.146130054124967,0.0214960617467383,0.33961968452,25.0
2015-03-09,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,101050500,-0.0241956129020768,40.441388203493005,-0.1824637356682856,0.0196374914134189,0.3430481147199999,25.0
2015-03-10,12.687999725341797,12.899999618530272,12.506667137145996,12.564000129699709,83695500,-0.0305056809091808,36.46100881362457,-0.2403874952253861,0.0184293327426565,0.27225953848,25.0
2015-03-11,12.916000366210938,13.07866668701172,12.734000205993652,12.743332862854004,74623500,0.0142735379897342,39.375914313932334,-0.2687241543962724,0.0198438171867522,0.28229527428,25.0
2015-03-12,12.73799991607666,12.963333129882812,12.649999618530272,12.916666984558104,62239500,0.0136019457052209,42.13890847281258,-0.2740356337315806,0.0208724268649843,0.29336131732,25.0
2015-03-13,12.57866668701172,12.783332824707031,12.48799991607666,12.596667289733888,81514500,-0.0247741693121589,38.63786081927686,-0.3006011771428696,0.0205345189253093,0.41833373412,25.0
2015-03-16,13.046667098999023,13.060667037963867,12.653332710266112,12.800000190734863,84432000,0.0161418013450818,41.9388431602371,-0.3017686942411739,0.0214870254883703,0.28898501812,25.0
2015-03-17,12.982000350952148,13.247332572937012,12.929332733154297,13.028667449951172,73411500,0.0178646293600703,45.49023069898799,-0.2810031932924914,0.0208107855741859,0.19170044628,25.0
2015-03-18,13.380666732788086,13.392000198364258,12.87399959564209,12.997332572937012,72313500,-0.0024050715189816,45.083284847747535,-0.2640312588832003,0.0203113350198653,0.2433805462,25.0
2015-03-19,13.043333053588867,13.63933277130127,12.968667030334473,13.466667175292969,127128000,0.0361100710258968,52.008343968857766,-0.2102854587007083,0.0229240607017998,0.131837255,25.0
2015-03-20,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,64042500,-0.0225248186649731,47.81192623691518,-0.1899781131937921,0.0233600066322641,0.2460467946,25.0
2015-03-23,13.308667182922363,13.366666793823242,13.164667129516602,13.233332633972168,39474000,0.0053177789506515,48.83784718687879,-0.1663187857799606,0.0218703561318514,0.31825119892,25.0
2015-03-24,13.447999954223633,13.586000442504885,13.31666660308838,13.43866729736328,54748500,0.0155164741241358,51.8292626377838,-0.12950693177177,0.0188283186398414,0.31954542184,25.0
2015-03-25,12.953332901000977,13.239333152770996,12.846667289733888,13.218000411987305,85956000,-0.0164202952936612,48.5443332366152,-0.1167929295244416,0.0199626213029509,0.40536370184,25.0
2015-03-26,12.694000244140623,12.986000061035156,12.646666526794434,12.928000450134276,61920000,-0.0219397755193009,44.54831255729764,-0.1286347431876109,0.0211600713657264,0.306165446292,25.0
