date,open,high,low,close,volume,returns,rsi,macd,volatility
2015-02-09,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,52086000,-0.02981978455337586,55.9705241098853,0.09487381433982378,0.02170981543705106
2015-02-10,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,80857500,0.010075149337606337,57.92649374359778,0.12185275760671566,0.021641097087779233
2015-02-11,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,146536500,-0.02454607808718745,51.82511661924786,0.11320261476720006,0.023723204667119826
2015-02-12,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,-0.08783749076649017,37.125350081471225,0.0060053082540161284,0.03679235092549024
2015-02-13,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,92865000,0.048199596734262995,45.46363485999726,-0.028431409088792492,0.03999920212422706
2015-02-17,13.623332977294922,13.713333129882812,13.43333339691162,13.713333129882812,59694000,0.013799888294608875,47.705047191467365,-0.040196964504144006,0.04022847587588378
2015-02-18,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,-0.007438033886084328,46.57852233436017,-0.05709367818938382,0.03719790399282168
2015-02-19,14.11400032043457,14.162667274475098,13.583333015441896,13.666666984558104,77311500,0.004065295560691684,47.305494971694074,-0.06526708843855822,0.03608644637416346
2015-02-20,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,0.02819510138453274,52.18519098614286,-0.04018815325524727,0.03749796986052938
2015-02-23,13.822667121887209,14.546667098999023,13.755332946777344,14.37733268737793,127497000,0.023152052415438718,55.89846654811886,0.00587103122702004,0.03826232828696861
2015-02-24,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000,-0.03881106621332864,48.88600854607907,-0.0026224089368263037,0.03907998602866547
2015-02-25,13.583999633789062,13.809332847595217,13.505332946777344,13.662667274475098,58642500,-0.011336712208538158,47.09947395577083,-0.021744485476325792,0.038863002126153755
2015-02-26,13.812666893005373,14.072667121887209,13.481332778930664,13.600000381469728,97093500,-0.004586724667038133,46.36949911041566,-0.04147743735840059,0.03827022261951877
2015-02-27,13.555999755859377,13.903332710266112,13.520000457763672,13.793333053588867,58231500,0.014215637257081193,48.995829165343,-0.0410425006028472,0.02424873970950499
2015-03-02,13.155332565307615,13.555999755859377,13.055333137512209,13.513333320617676,118831500,-0.020299642724739275,45.519120055826995,-0.06257017841767265,0.020718203473637075
2015-03-03,13.303999900817873,13.349332809448242,13.021332740783691,13.120667457580566,66484500,-0.02905766132757248,41.1131622014751,-0.11004731474372953,0.02196366194333124
2015-03-04,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,63330000,0.012397644224454663,43.5507555070456,-0.1330142462284858,0.022526240939576128
2015-03-05,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,73155000,0.018067737538862483,47.03442631145275,-0.13034716811477054,0.023378502095503927
2015-03-06,12.925333023071287,13.383333206176758,12.8100004196167,13.280667304992676,100686000,-0.017944193053968993,44.07279440166033,-0.14613005412496705,0.021496061746738366
2015-03-09,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,101050500,-0.024195612902076835,40.441388203493005,-0.18246373566828566,0.01963749141341893
2015-03-10,12.687999725341797,12.899999618530272,12.506667137145996,12.564000129699709,83695500,-0.03050568090918082,36.46100881362457,-0.24038749522538616,0.0184293327426565
2015-03-11,12.916000366210938,13.07866668701172,12.734000205993652,12.743332862854004,74623500,0.014273537989734297,39.375914313932334,-0.2687241543962724,0.01984381718675226
2015-03-12,12.73799991607666,12.963333129882812,12.649999618530272,12.916666984558104,62239500,0.013601945705220997,42.13890847281258,-0.2740356337315806,0.020872426864984354
2015-03-13,12.57866668701172,12.783332824707031,12.48799991607666,12.596667289733888,81514500,-0.024774169312158922,38.63786081927686,-0.3006011771428696,0.020534518925309362
2015-03-16,13.046667098999023,13.060667037963867,12.653332710266112,12.800000190734863,84432000,0.016141801345081808,41.9388431602371,-0.3017686942411739,0.02148702548837033
2015-03-17,12.982000350952148,13.247332572937012,12.929332733154297,13.028667449951172,73411500,0.017864629360070383,45.490230698987986,-0.28100319329249146,0.02081078557418599
2015-03-18,13.380666732788086,13.392000198364258,12.87399959564209,12.997332572937012,72313500,-0.0024050715189816163,45.083284847747535,-0.26403125888320034,0.020311335019865377
2015-03-19,13.043333053588867,13.63933277130127,12.968667030334473,13.466667175292969,127128000,0.036110071025896806,52.008343968857766,-0.21028545870070836,0.022924060701799875
2015-03-20,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,64042500,-0.022524818664973134,47.81192623691518,-0.1899781131937921,0.023360006632264195
2015-03-23,13.308667182922363,13.366666793823242,13.164667129516602,13.233332633972168,39474000,0.005317778950651553,48.83784718687879,-0.16631878577996062,0.021870356131851468
2015-03-24,13.447999954223633,13.586000442504885,13.31666660308838,13.43866729736328,54748500,0.015516474124135815,51.8292626377838,-0.12950693177177008,0.018828318639841444
2015-03-25,12.953332901000977,13.239333152770996,12.846667289733888,13.218000411987305,85956000,-0.01642029529366129,48.544333236615195,-0.11679292952444165,0.019962621302950977
2015-03-26,12.694000244140623,12.986000061035156,12.646666526794434,12.928000450134276,61920000,-0.02193977551930093,44.54831255729764,-0.12863474318761092,0.021160071365726472
2015-03-27,12.333333015441896,12.619333267211914,12.09333324432373,12.604666709899902,129073500,-0.025010344134928864,40.54126706342993,-0.16223959934482934,0.02119126183179935
2015-03-30,12.704667091369627,12.81666660308838,12.119999885559082,12.390000343322754,151342500,-0.01703070549327146,38.091532002901836,-0.20384368854715262,0.021025530174692966
2015-03-31,12.584667205810549,12.917332649230955,12.560667037963867,12.902000427246094,75399000,0.04132365373171831,46.40921937842705,-0.19327316839500597,0.02462006093015286
2015-04-01,12.505999565124512,12.81999969482422,12.403332710266112,12.579999923706056,56919000,-0.0249574091518433,42.53838380505596,-0.2084755284625306,0.025797709052204475
2015-04-02,12.733332633972168,12.881999969482422,12.666666984558104,12.682000160217283,75156000,0.00810812695785601,44.128112860367956,-0.2098736489252211,0.0223786409773742
2015-04-06,13.539999961853027,13.850000381469728,13.166666984558104,13.199999809265137,186837000,0.04084526435134328,51.4708932958991,-0.16725541062949212,0.025813145596698426
2015-04-07,13.550000190734863,13.670666694641112,13.40933322906494,13.500666618347168,65218500,0.022777788895950835,55.154919542167384,-0.1079741917459014,0.02674330942400944
2015-04-08,13.844667434692385,14.0600004196167,13.724666595458984,13.880000114440918,94546500,0.028097390063557492,59.34790834856438,-0.030038095305458867,0.02771142604727193
2015-04-09,14.005999565124512,14.024666786193848,13.7413330078125,13.895333290100098,57003000,0.001104695643570519,59.512695505186194,0.03258842270252238,0.02684675252932974
2015-04-10,14.0600004196167,14.109999656677246,13.93333339691162,13.989999771118164,61015500,0.006812825503474063,60.57526668970609,0.0888351470042057,0.025083222701707094
2015-04-13,13.985333442687988,14.199999809265137,13.936667442321776,14.029333114624023,56373000,0.002811532819826157,61.03286765458914,0.13502842966263806,0.022387543220592665
2015-04-14,13.830666542053224,13.965999603271484,13.699999809265137,13.904666900634766,45390000,-0.00888611119079541,58.707022433436016,0.15973607929431743,0.02138040737989287
2015-04-15,13.85533332824707,13.97266674041748,13.773332595825195,13.830666542053224,29286000,-0.00532197995898509,57.31089844863631,0.17137040775942047,0.01920180308964678
2015-04-16,13.779999732971191,13.944666862487791,13.752667427062988,13.846667289733888,24886500,0.001156903583208635,57.54599364251496,0.1798090961694605,0.01583169236465564
2015-04-17,13.78600025177002,13.791999816894531,13.56666660308838,13.666000366210938,37048500,-0.013047682864229748,53.93426933827893,0.16995932143852244,0.017410377973813937
2015-04-20,13.684666633605955,13.856666564941406,13.59000015258789,13.785332679748535,38389500,0.008732058417958655,55.90294069086588,0.16982478993507577,0.013009618049251763
2015-04-21,13.96066665649414,14.050000190734863,13.620667457580566,13.720000267028809,51487500,-0.00473926993548035,54.5289687558249,0.16257236007940534,0.011521103143131492
2015-04-22,14.629332542419434,14.791999816894531,14.112667083740234,14.166666984558104,117945000,0.03255588256821684,61.49655531336549,0.19066911347026938,0.01268484302350571
2015-04-23,14.57333278656006,14.76533317565918,14.476667404174805,14.5513334274292,66168000,0.02715292476984099,66.28752669001213,0.24119501412268285,0.0149295486216931
2015-04-24,14.562000274658203,14.720000267028809,14.534000396728516,14.699999809265137,36417000,0.010216684441832768,67.94749254494266,0.28989159906379136,0.015021019925045835
2015-04-27,15.436667442321776,15.916666984558104,14.800000190734863,14.837332725524902,175089000,0.009342375376985235,69.44423886595607,0.3356959184877901,0.015054186880654963
2015-04-28,15.36533260345459,15.699999809265137,15.20199966430664,15.649999618530272,91281000,0.05477176444303389,76.45179525527946,0.4325850272393552,0.02062266287381492
2015-04-29,15.49666690826416,15.664667129516602,15.175333023071287,15.33666706085205,59041500,-0.020021250179918293,69.80464553951782,0.47857036394229624,0.02244440122759693
2015-04-30,15.06999969482422,15.526000022888184,15.011333465576172,15.359333038330078,58678500,0.0014778946030513662,70.00779226230689,0.5109530804862406,0.022429601033602545
