feature,importance
close,0.114817426
open,0.112806834
sentiment_score,0.08074472
high,0.08047974
returns,0.07426155
volume,0.07368167
rsi,0.071219295
macd,0.07098625
low,0.069181375
returns_lag_1,0.06725299
volatility,0.06482976
sentiment_ma_3,0.06394292
sentiment_lag_1,0.05579553
news_count,0.0
